,Unnamed: 0,rank,mesh,ranks,ranks_per_node,mesh_s,mesh_peakmem_mb,setup_s,setup_peakmem_mb,solve_s,solve_peakmem_mb,total_s,mesh.np-arrays,mesh.np-arrays_peak_mem_mb,mesh.cell-list,mesh.cell-list_peak_mem_mb,mesh.boundary-faces,mesh.boundary-faces_peak_mem_mb,mesh.ctor.plex,mesh.ctor.plex_peak_mem_mb,mesh.topo.facets,mesh.topo.facets_peak_mem_mb,mesh.topo.distribute,mesh.topo.distribute_peak_mem_mb,mesh.topo.rest,mesh.topo.rest_peak_mem_mb,mesh.ctor.topo,mesh.ctor.topo_peak_mem_mb,mesh.ctor.geo,mesh.ctor.geo_peak_mem_mb,cluster
0,0,0,8192,512,8,4052.623880624771,44693.20703125,27.833951473236084,44693.20703125,,,,54.22650599479675,5763.515625,-0.0001678466796875,32135.76171875,27.15938901901245,32135.76171875,0.0012919902801513,32135.76171875,124.1978361606598,32135.76171875,1355.3854897022247,44693.20703125,0.1941056251525879,44693.20703125,1654.5345866680143,44693.20703125,0.4451920986175537,44693.20703125,theta
1,1,0,9000,512,8,4963.907079935074,55255.8203125,28.49077844619751,55255.8203125,,,,65.16883993148804,6974.5546875,-0.0001630783081054,41943.5078125,32.548489809036255,41943.5078125,0.0012521743774414,41943.5078125,162.40813398361206,41943.5078125,1630.7216012477877,55255.8203125,0.0858716964721679,55255.8203125,2004.1680805683136,55255.8203125,0.1593177318572998,55255.8203125,theta
2,2,0,4096,512,48,1178.9275612831116,11354.3828125,28.89981842041016,11354.3828125,1527.596850156784,11354.3828125,2735.424229860306,12.093475103378296,1584.46875,-0.0001630783081054,8193.703125,7.258588552474976,8193.703125,0.0011811256408691,8193.703125,27.32927775382996,8193.703125,322.8600323200226,11354.3828125,0.0067777633666992,11354.3828125,393.612291097641,11354.3828125,0.0019688606262207,11354.3828125,theta
3,3,0,8192,512,24,4130.962325811386,44695.0625,27.53135299682617,44695.0625,4183.412442922592,44695.0625,8341.906121730804,54.28327441215515,5808.54296875,-0.0001718997955322,32180.61328125,27.08199071884156,32180.61328125,0.0012874603271484,32180.61328125,124.46378111839294,32180.61328125,1340.8495666980743,44695.0625,0.0731468200683593,44695.0625,1640.9953038692474,44695.0625,0.2093346118927002,44695.0625,theta
4,4,0,4096,1024,48,1090.799385547638,11354.09765625,14.459959030151367,11354.09765625,1048.7367088794708,11354.09765625,2153.99605345726,12.190072059631348,1585.69921875,-0.0001575946807861,8176.42578125,7.296499967575073,8176.42578125,0.00124192237854,8176.42578125,27.12860870361328,8176.42578125,400.33273434638977,11354.09765625,0.0049304962158203,11354.09765625,470.9422047138214,11354.09765625,0.0025107860565185,11354.09765625,theta
5,5,0,4096,2048,24,1107.6523604393003,11413.8515625,9.663471221923828,11413.8515625,766.151082277298,11413.8515625,1883.4669139385223,11.969980001449583,1588.9140625,-0.0001559257507324,8198.1328125,7.383025407791138,8198.1328125,0.0012502670288085,8198.1328125,27.43680310249329,8198.1328125,490.990581035614,11413.8515625,0.0170700550079345,11413.8515625,561.9080400466919,11413.8515625,0.002007246017456,11413.8515625,theta
6,6,0,8192,1024,16,4170.849694013596,44690.26171875,18.19618558883667,44690.26171875,,,,54.2129180431366,5765.78125,-0.000209093093872,32137.96875,27.2396080493927,32137.96875,0.0012793540954589,32137.96875,123.95447206497192,32137.96875,1500.9435951709747,44690.26171875,0.263831615447998,44690.26171875,1799.989881515503,44690.26171875,0.0616390705108642,44690.26171875,theta
7,7,0,8192,1024,24,4239.572092533112,44694.328125,21.82681155204773,44694.328125,2403.8387684822083,44694.328125,6665.237672567368,54.14396142959595,5810.04296875,-0.000159740447998,32162.10546875,27.21349787712097,32162.10546875,0.0014069080352783,32162.10546875,124.33573627471924,32162.10546875,1517.087610244751,44694.328125,0.1808156967163086,44694.328125,1816.0762486457825,44694.328125,0.3655242919921875,44694.328125,theta
8,8,0,8192,1536,24,4480.739856481552,44652.0390625,17.89649271965027,44652.0390625,1859.615829706192,44652.0390625,6358.252178907394,54.99734973907471,5811.5,-0.0001602172851562,32183.484375,27.19404983520508,32183.484375,0.0012636184692382,32183.484375,125.7390456199646,32183.484375,1671.44571518898,44652.0390625,0.156489610671997,44652.0390625,1971.9160251617432,44652.0390625,0.618537187576294,44652.0390625,theta
9,9,0,8192,2048,16,4552.113266468048,44725.2265625,18.308621406555176,44725.2265625,,,,55.54632115364075,5768.49609375,-0.00018310546875,32140.625,27.280788898468018,32140.625,0.0014092922210693,32140.625,124.41546320915222,32140.625,1856.372226715088,44725.2265625,0.1948161125183105,44725.2265625,2155.4457700252533,44725.2265625,0.3205080032348633,44725.2265625,theta
10,10,0,8192,2048,24,4578.320987701416,44726.9921875,17.742040395736694,44726.9921875,1516.5711245536804,44726.9921875,6112.634152650833,54.36752915382385,5813.0390625,-0.0001683235168457,32165.80078125,27.23664283752441,32165.80078125,0.001357078552246,32165.80078125,124.15878915786745,32165.80078125,1856.41553235054,44726.9921875,0.1825511455535888,44726.9921875,2155.693452358246,44726.9921875,0.4872026443481445,44726.9921875,theta
16,5,0,4096,1384,41,326.3029143810272,11753.4375,3.776060104370117,11753.4375,3.5746068954467773,11753.4375,333.6535813808441,,,,,,,,,,,,,,,,,,,summit
17,6,0,4096,2768,41,374.5685694217682,11884.375,5.071152210235596,11884.375,3.085169792175293,11884.375,382.7248914241791,,,,,,,,,,,,,,,,,,,summit
18,7,0,4096,346,41,269.7521390914917,11671.6875,4.254391431808472,11671.6875,5.403386116027832,11671.6875,279.409916639328,,,,,,,,,,,,,,,,,,,summit
19,8,0,4096,42,41,253.84441566467285,11799.9375,17.33704972267151,11799.9375,34.619091749191284,11799.9375,305.80055713653564,,,,,,,,,,,,,,,,,,,summit
20,9,0,4096,692,41,285.0842206478119,11733.625,4.37191367149353,11733.625,3.876401901245117,11733.625,293.33253622055054,,,,,,,,,,,,,,,,,,,summit
21,10,0,4096,84,41,255.29615139961243,11705.8125,9.52465009689331,11705.8125,17.048205375671387,11705.8125,281.8690068721771,,,,,,,,,,,,,,,,,,,summit
22,11,0,8192,1384,40,1314.6928124427795,45380.625,5.622061729431152,45380.625,6.279811382293701,45380.625,1326.5946855545044,,,,,,,,,,,,,,,,,,,summit
23,12,0,8192,168,42,1070.0700116157532,45123.8125,19.4555778503418,45123.8125,37.673736333847046,45123.8125,1127.199325799942,,,,,,,,,,,,,,,,,,,summit
24,13,0,8192,2768,42,1525.7578794956207,45471.5,6.193073987960815,45471.5,5.249712944030762,45471.5,1537.2006664276123,,,,,,,,,,,,,,,,,,,summit
25,14,0,8192,346,40,1130.9645261764526,45107.875,10.550379037857056,45107.875,19.012041091918945,45107.875,1160.5269463062286,,,,,,,,,,,,,,,,,,,summit
26,15,0,8192,42,42,1063.9443781375885,45652.5625,72.2058470249176,45652.5625,147.3941638469696,45652.5625,1283.5443890094757,,,,,,,,,,,,,,,,,,,summit
27,16,0,8192,692,40,1191.7607533931732,45221.75,6.728612184524536,45221.75,9.76752996444702,45221.75,1208.2568955421448,,,,,,,,,,,,,,,,,,,summit
28,17,0,8192,84,42,1100.779143333435,45298.75,35.31415629386902,45298.75,76.98889231681824,45298.75,1213.0821919441223,,,,,,,,,,,,,,,,,,,summit
